severity,code,scope,floor,development_level,encounter_id,message,evidence,recommendation
P1,BUILD_HARD_COUNTER,Elite,3,H,f3_c4_elite_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 80.0 %；最低 B03_SUMMON，最高 B05_SPELL,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Event,3,H,f3_c4_event_ambush_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 65.0 %；最低 B03_SUMMON，最高 B05_SPELL,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,3,H,f3_c5_forge_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 63.0 %；最低 B03_SUMMON，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,3,H,f3_mid_mechanic_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 71.5 %；最低 B03_SUMMON，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,3,H,f3_opening_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 39.5 %；最低 B02_BREAK，最高 B04_DEATH,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,3,H,f3_route_normal_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 65.5 %；最低 B03_SUMMON，最高 B05_SPELL,检查站位针对、关键词硬克制和单一机制门槛。
P1,BUILD_HARD_COUNTER,Normal,3,H,f3_route_safe_encounter,同档固定构筑之间存在显著胜率断层。,计分胜率跨度 58.5 %；最低 B03_SUMMON，最高 B05_SPELL,检查站位针对、关键词硬克制和单一机制门槛。
P1,HIGH_BUILD_WALL,Normal,3,H,f3_c5_wild_encounter,高成型固定构筑仍几乎无法取胜。,H 档胜率 0.7 %,优先下调该遭遇的绝对数值或机制叠加，再用章节进度快照复测。
P1,HIGH_BUILD_WALL,Boss,3,H,f3_c6_boss_encounter,高成型固定构筑仍几乎无法取胜。,H 档胜率 0.2 %,优先下调该遭遇的绝对数值或机制叠加，再用章节进度快照复测。
P1,ROUTE_ORDER_INVERSION,Elite,3,H,f3_c4_elite_encounter,激进路线比冒险路线更容易。,计分胜率：激进 58.4 %，冒险 36.7 %,上调激进路线压力，或重新标注路线风险与奖励。
P2,ROUTE_FLAT,Normal,1,H,f1_route_normal_encounter,三条 C4 路线的战斗压力几乎相同。,最大计分胜率差 0.0 %,拉开敌方数值或机制强度，让风险标签可由实战感知。
P2,SATURATED_RESULT,Elite,1,H,f1_c4_elite_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Event,1,H,f1_c4_event_ambush_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
